fecha_hora,5Mananti,Abancay,AceArequ,Aguaytia,AltoPrad,Antamina,Antapacc,Asia,Aucayacu,Ayaviri,Azangaro,Balneari,Bambas,Barsi,Bellavis,Botiflac,CHArico1,CHGallCi,CHLaVirg,CHMalpas,CHMoyopa,CHPachac,CHYaupi,CTChilc1,CTFenix,CTIlo1,CTIlo2,CTKallpa,CTMalaca,CTOllero,CTSanNic,CTTumbes,CTVentan,Cachimay,Caclic,CajamNor,Cajamarq,Callalli,Camana,CampArmi,Cantera,Carabayl,Carhuam,Carhuaqu,CemPiura,CerrCoro,CerrVer2,Challapa,Chavarri,ChiclayO,Chilca,ChilcaNu,Chilina,Chillon,Chilota,Chimbot1,ChimbotS,Colcabam,Combapat,Condorco,Constanc,Cotaruse,Desierto,Doloresp,ElHierro,Etanol,Francois,Gloria,Guadalup,Heroes,Hidromet,Huachipa,Huacho,HuallaNu,Huallanc,Huancave,Huanuco,Huaranga,Huayucac,Ica,Ilo1,IloELS,Independ,Industri,Ingenier,Jesus,Juanjui,Juliaca,KimAyllu,LaBrea,LaNina,LaQuinua,LaRamada,Lixiviac,Lomera,Machala,Machupic,Majes,Malvinas,Manchay,Marcona,Mazuko,MedMundo,Millsite,Milpo,Mirador,MnaJusta,Mollendo,Mollepat,Moquegua,Moyobamb,Nana,Orcotuna,OroyaNu,OxiCerro,PaHonda,PaIndELS,PaIndSEA,Pachacut,Papujune,Paragsh1,ParamExi,ParamoNu,PiuraOes,PlantZ,Plaza,Pomacoch,Progreso,PtoMaldo,Pucallpa,Puno,PushBack,QuebHond,Quencoro,Refineri,Repartic,SLuisLDS,Salamanc,SanGaban,SanJuan,SanLuis,SanMigue,SanRafae,Sauces,Socabaya,StaAnita,StaClara,StaRosAn,StaRosNu,Sulfuros,Tacna,TacnaEDN,Talta,Tarapoto,TierraNu,TingMari,Tintaya,Tocache,Tomasi,Toromoch,TrujiNor,TrujilNu,Uchuccha,Yarabamb,Yura,Zorritos,TALARA,Chincha,index,Cahuachi,Valledel,Cutervo,HuarazO,GE1,CTRefTal
2023-04-06 00:30,19.63,14.37,35.1,1.67,98.54,96.7,99.71,24.64,1.26,1.21,12.3,211.23,152.1,154.93,7.49,79.38,0.2,16,-12.56,0,12.4,28.03,7.82,0,0,0,0,0,12,5.01,9.75,8.41,0,34.18,2.4,28.47,187.4,8.59,6.79,2.58,16.19,27.82,14.98,8.47,6.58,23.08,19.62,23.27,253.53,93.55,57.56,29.37,16.23,139.41,6.72,39.02,35.28,4.56,1.03,-0.23,88.05,18.56,33.65,15.05,88.16,0,32.77,-1.38,39.27,4.61,29.14,47.02,1.92,-17.22,0.4,14.35,13.74,82.99,-6.12,52.1,44.43,9.4,74.08,58.14,32.79,13.74,1.12,18.81,28.47,41.18,18.96,3.2,3.37,25.73,14.43,0,-1.61,8.69,126.71,45.55,44.33,1.69,13.85,44.87,23.19,52.81,50.26,7.51,16.71,13.44,3.77,25.1,-0.66,2.29,4.06,5.33,1.55,22.64,41.86,133.88,14.6,15.55,8.92,99.15,0.47,64.9,35.82,19.65,10.21,32.13,11.21,9.5,7.42,15.03,10.18,8.47,64.03,38.92,2.18,183.91,181.57,8.69,28.57,13.04,17.62,47.74,35.36,79.84,69.37,113.8,31.29,14.34,9.74,22.43,11.64,3.88,22.57,6.35,1.45,148.06,178.36,9.32,19.04,11.44,29.42,29.37,,,,,,,,,
2023-04-06 01:00,19.05,13.54,34.02,1.59,96,88.41,103.58,24.97,1.19,1.29,11.46,201.58,154.9,149.21,6.99,85.57,0.23,16.12,-12.01,0,12.21,29.13,7.59,0,0,0,0,0,11.4,5.31,9.49,8.31,0,33.99,2.49,25.45,194.47,8.32,6.67,2.16,15.65,28.17,15.27,8.39,5.07,23.02,20.23,22.52,241.81,88.32,53.55,28.91,15.68,134.78,5.94,89.36,36.67,6.57,0.92,0.32,86.94,19.4,34.31,14.27,93.8,0,31.49,-0.94,40.88,4.48,30.35,48.72,2.3,-17.45,6.91,13.34,13.14,78.97,-7.24,49.12,42.26,9.06,90.11,56.54,32.82,12.23,1.16,18.32,30.19,41.01,19.35,2.9,3.54,25.14,11.49,0,-2.44,8.43,119.75,41.72,47.78,1.3,11.63,44.48,22.9,52.37,51.72,6.97,15.57,13.21,3.36,22.95,-1.23,2.38,3.81,5.01,1.42,21.7,38.86,131.04,15,15.57,7.63,88.28,0.66,63.84,38.83,18.45,9.78,30.13,11,8.94,7.38,14.44,9.84,8.25,61.62,37.21,1.71,174.09,183.02,8.64,28.57,12.45,17.17,46.69,34.12,75.53,68.88,110.29,30.33,13.83,10.38,21.06,12.24,3.55,22.18,5.55,1.24,148.57,174.01,9.69,18.65,10.61,29.55,28.08,,,,,,,,,
2023-04-06 01:30,18.12,13.75,39.78,1.78,94.1,89.18,103.33,24.46,1.21,1.37,11.58,192.4,153.74,140.83,7.02,80.22,0.14,15.47,-12.45,0,11.28,30.06,6.78,0,0,0,0,0,10.32,4.32,9.72,8.13,0,33.6,1.09,27.58,198.18,7.52,6.61,1.83,15.63,28.06,14.45,6.86,3.77,23.65,19.4,21.54,233.28,86.3,51.91,29.01,15.05,130.52,6.14,35.81,32.13,5.8,0.99,0.09,86.09,19.48,33.91,13.3,93.74,0,27.39,-1.22,41.53,4.56,29.81,52,1.98,-16.92,-0.73,13.33,12.36,76.09,-7.58,48.33,43.35,8.86,86.89,54.55,31,11.51,1.04,17.88,29.87,41.14,17.2,2.98,3.84,24.42,11.03,0,-2.39,8.05,115.99,35,48.83,1.33,12.22,43.74,21.8,51.02,51.19,7.13,14.93,10.76,3.25,21.85,-1.11,3.41,4.37,5.34,1.24,21.15,37.17,130.59,14.58,13.12,7.57,81.64,1.64,65.08,36.3,17.5,9.52,29.38,10.78,16.05,7.71,13.2,9.78,8.25,59.02,36.4,1.77,174.05,181.09,8.57,28.45,12.14,15.6,44.72,32.87,73.04,62.03,108.62,29.83,13.4,10.56,20.43,11.96,3.94,21.73,5.38,1.55,146.17,169.19,9.54,18.68,9.22,29.9,27.81,,,,,,,,,
2023-04-06 02:00,18.46,14.55,36.09,1.56,94.13,98.53,100.44,24,1.25,1.46,11.76,185.99,150.55,137.16,6.95,78.31,0.24,13.99,-13.2,0,11.33,29.03,7.22,0,0,0,0,0,10.84,4.76,9.71,8.01,0,31.44,2.17,28.14,198.01,7.69,6.78,2.18,14.78,28.33,14.59,4.42,6.62,23.15,19.71,20.93,226.17,81.65,53.64,29.15,14.53,127.39,6.79,39.89,31.04,4.83,0.95,-0.32,86.51,19.43,34.55,12.54,94.32,0,26.92,-1.14,38.86,4.5,28.8,51.84,1.7,-17.31,-1.41,13.17,11.93,74.13,-7.98,46.75,43.68,9.02,86.44,53.97,31.03,11.49,1.08,17.7,28.91,41.21,19.43,3.14,3.51,23.81,10.41,0,-1.32,7.83,113.7,34.48,47.71,1.27,11.66,44.05,21.6,49.01,52.28,7.04,14.49,10.11,2.86,21.35,-1.39,2.4,3.76,5.79,1.24,21.29,36.37,133.54,14.7,15.01,7.12,79.46,0.81,63.66,35.5,16.95,9.39,29.75,10.63,3.2,7.8,11.14,9.89,8,57.48,35.3,1.88,170.02,169.87,8.63,27.98,12.07,15.89,43.95,32.45,71,60.7,110.74,29.25,13.14,10.12,19.38,11.69,3.32,22.33,5.71,1.59,150.34,163.82,9.71,18.11,10.19,30.74,27.34,,,,,,,,,
2023-04-06 02:30,15.59,14.4,38.48,1.6,93.01,90.63,98.75,22.55,1.27,1.19,11.53,180.96,156.45,132.64,7.02,78.16,0.25,13.03,-11.96,0,10.84,29.82,6.54,0,0,0,0,0,10.56,5.03,9.45,8.01,0,31.5,2.07,27.53,195.4,8.43,6.7,3.34,14.52,28.31,14.64,4.92,6.67,23.49,19.86,21.46,222.21,80.45,52.07,29.3,14.21,124.98,6.51,45.4,27.81,6.1,0.83,-0.22,85.2,18.16,34.22,12.49,91.38,0,25.62,-0.6,42.55,4.34,29.68,51.4,1.82,-17.64,-1.53,13.57,11.82,72.54,-8.68,46.28,43.81,8.57,89.07,53.51,30.2,10.66,1.04,17.46,28.51,41.48,19.25,3.07,3.74,23.43,11.28,0,-1.18,8.17,111.1,33.96,47.18,1.24,11.28,44.46,24.95,46.6,51.29,6.89,14.3,10.4,3.03,20.68,-0.93,2.8,3.39,5.3,1.14,20.25,35.11,133.39,14.88,11.95,7.07,73.46,1.1,57.54,36.36,16.49,9.19,28.51,10.32,2.59,7.32,10.9,9.89,7.76,55.98,35.03,1.6,166.51,171.29,8.9,28.71,11.94,15.43,43.22,31.44,68.64,59.35,111.19,28.93,12.68,10.68,19.07,11.14,3.11,22.55,5.37,1.49,148.5,161.47,9.5,17.66,9.86,28.64,27,,,,,,,,,
2023-04-06 03:00,17.54,14.63,50.12,1.42,90.9,106.87,100.26,22.29,1.14,1.29,12.08,178.42,154.3,132.21,6.81,76.45,0.28,13.16,-13.58,0,11.07,28.94,6.95,0,0,0,0,0,9.76,4.44,9.21,8.01,0,32.04,2.39,27.1,196.68,8.22,6.59,3,14.43,28.77,14.29,3.02,6.52,23.06,19.09,20.98,217.28,78.39,49.45,28.59,13.89,123.33,6.55,85.89,23.97,5.51,0.99,-1.25,85.36,17.64,35.62,12.58,89.54,0,29.43,-0.46,42.05,4.51,29.13,50.54,1.66,-17.2,-1.92,13.47,11.37,70.36,-8.88,45.04,45.73,8.53,84.65,52.2,30.58,10.5,0.92,17.62,29.46,40.9,17.95,2.94,3.69,24.34,9.83,0,-0.87,8.14,106.32,33.65,47.44,1.1,10.97,44.01,20.72,48.15,44.76,6.76,13.76,10.88,3,20.29,-1.44,3.48,4.29,5.37,1.15,20.34,34.34,130.85,15.22,12.62,6.87,71.56,1.46,63.47,38.25,16.02,9.04,28.54,10.16,11.2,7.62,10.49,9.74,8.4,54.94,33.58,1.61,163.29,186.76,9.27,27.47,11.47,15.84,42.59,31.21,67.72,57.61,109.34,29.02,12.46,10.62,18.67,11.01,3.69,22.62,5.46,1.58,149.86,154.87,9.86,16.82,9.08,27.9,28.21,,,,,,,,,
2023-04-06 03:30,18.11,13.37,47.68,1.44,89.4,120.92,99.73,21.13,1.51,1.23,12.01,174.45,158.49,129.33,6.69,70.02,0.24,14.23,-12.74,0,10.03,29.18,6.39,0,0,0,0,0,9.68,6.34,8.32,7.92,0,33.62,2.21,27.99,188.56,8.46,6.59,2.77,14.1,28.3,14.36,-5.65,6.32,23.43,21.79,21.25,213.56,76.88,49.46,29.76,13.83,121.99,6.44,44.68,23.44,4.6,0.82,-1.3,87.72,17.92,34.59,12.94,90.12,0,29.32,-0.64,39.63,4.57,28.96,49.51,1.42,-17.14,-2.25,13.16,11.24,70.83,-8.52,45.68,45.23,8.51,84.06,51.68,29.53,10.56,0.84,18.08,28.86,41.33,18.09,2.85,3.67,26.33,11.54,0,-3.11,8.39,106.32,34.53,48.45,1.18,11.07,44.45,21.67,46.71,49.08,6.86,13.73,8.38,3.1,20.59,-0.9,3.04,3.76,5.45,1.15,20.26,33.81,130.46,16.3,15.48,6.9,73.02,1.36,63.77,36.89,15.59,9.06,28.34,10.48,14.48,7.89,11.45,10.01,9,54.3,33.24,1.76,161.94,189.62,9.13,28.26,11.57,16.07,42.57,31.16,66.77,56.73,120.39,29.46,12.46,11.26,18.43,11.53,3.39,22.77,5.75,1.61,151.96,154.57,9.78,18.14,10.06,28.52,29.75,,,,,,,,,
2023-04-06 04:00,20.07,13.7,48.04,1.46,88.86,116.79,96.96,22.16,1.51,1.09,11.88,173.04,154.43,125.37,7.5,77.87,0.31,13.71,-12.77,0,9.59,28.48,6.53,0,0,0,0,0,9.68,6.5,8.26,7.86,0,33.48,2.39,25.87,184.79,8.18,6.62,2.96,14.04,28.97,13.78,-10.38,6.35,23.27,20.14,21.27,211.24,75.22,49.17,27.89,13.9,120.47,6.36,94.31,23.36,5.93,1.29,-1.02,88.33,17.9,36.04,13.33,87.7,0,28.06,-0.76,38.11,4.55,29.52,48.5,1.4,-17.01,-3.13,13.3,11.12,69.45,-8.72,44.8,43.51,8.41,84.24,51.58,29.49,10.39,0.84,17.97,30.04,41.52,18.24,3.11,3.51,25.4,11.59,0,-1.87,8.49,104.02,34.44,46.41,1.21,11.08,45.35,20.41,45.37,54.02,6.96,13.93,8.04,3.02,20.81,-0.94,2.65,4.54,5.39,1.12,19.75,33.14,128.02,14.72,15.13,7.2,78.37,0.92,65.67,37.94,15.53,8.95,27.16,10.42,6.73,8.63,12.99,10.07,9.67,54.14,33.09,1.77,160.76,193.49,9.25,27.05,11.69,15.82,41.45,31,66.09,58.94,125.34,29.4,12.45,10.26,18.2,10.97,3.87,23.04,6.08,1.66,154.23,152.6,9.77,16.88,11.27,28.87,31.43,,,,,,,,,
2023-04-06 04:30,17.49,13.17,44.45,1.52,89.77,116.83,99.09,22.37,1.81,1.3,12,171.96,156.27,125.87,7.84,77.85,0.28,14.75,-12.71,0,9.79,29.94,6.09,0,0,0,0,0,9.76,4.91,9.04,7.68,0,33.55,2.26,26.68,193.7,8.46,6.7,2.94,14.69,28.47,13.76,-9.18,6.35,23.42,19.61,21.91,210.88,75.74,49.43,31.07,13.91,120.08,6.14,75.26,24.38,5.87,1.01,-0.3,86.28,17.6,33.42,13.22,90.6,0,26.88,-0.9,39.72,4.34,29.82,49.05,2.3,-16.87,0.51,12.88,11.17,69.23,-8.74,46.53,43.9,8.41,86.21,51.79,28.79,10.59,0.76,18.44,30.29,41.5,18.84,3.27,3.7,24.87,11.93,0,-3.13,8.94,104.02,34.82,46.08,1.14,10.37,44.87,22.13,45.81,50.15,6.91,14.22,4.63,3.3,20.79,-1.02,2.9,4.07,5.19,1.09,20.29,32.62,134.68,15.5,14.17,7.11,78.62,1.01,64.02,35.56,15.54,9,27.55,10.65,11.15,8.33,12.97,9.85,9.73,54.05,33.1,1.81,160.98,211.18,9.25,26.98,11.93,16.25,41.23,31.17,66.14,59.37,124.35,29.22,12.31,10.72,18.42,12.86,3.53,23.71,5.51,1.33,156.67,153.72,9.52,15.77,10.6,28.31,31.75,,,,,,,,,
2023-04-06 05:00,18.57,13.1,43.2,1.45,89.24,122.56,97.88,23.69,1.63,1.34,12.39,172.83,153.8,125.39,8.03,73.21,0.32,15.06,-12.41,0,9.77,30.34,6.4,0,0,0,0,0,9.36,5.42,8.96,7.86,0,33.91,2.06,29.11,194.06,8.11,6.58,2.95,15.15,29.09,13.63,-7.42,6.48,23.91,3.64,21.55,212.46,76.23,49.8,29.48,14.39,120.79,6.18,86.07,23.66,6.67,1.34,-0.43,86.49,16.86,31.33,13.65,88.28,0,26.7,-0.18,39.45,4.54,29.63,46.01,1.84,-17.6,-1.98,12.9,11.68,70.79,-8.28,46.52,44.27,8.07,87.48,52.09,27.25,10.71,0.84,19.07,29.9,41.69,19.49,2.99,3.32,25.21,11.06,0,-2.47,9.72,101.72,33.99,50.99,1.38,12.05,43.04,19.93,46.68,52,7.2,14.84,8.73,3.24,21,-1.08,2.97,4.43,5.21,1.11,19.61,33.55,130.67,15.34,14.18,7.59,63.41,1.33,66.41,34.99,15.21,9.05,27.52,10.87,9.56,8.54,13.55,9.95,9.18,54.34,33.42,1.98,161.02,234.76,9.71,26.37,11.41,16.25,41.33,30.78,67.2,59.02,124.98,30.31,12.35,10.12,18.83,12.76,3.33,23.39,5.36,1.69,152.32,155.6,10.13,15.2,10.39,28.03,32.05,,,,,,,,,
2023-04-06 05:30,17.35,13.53,42.23,1.62,87.67,118.14,103.03,26.58,1.74,1.48,13.06,176.59,150.29,127.15,8.32,73.61,0.27,15.01,-12.49,0,9.92,26.87,6.73,0,0,0,0,0,8.96,4.47,8.28,7.68,0,34.16,1.14,26.96,195.12,8.4,6.61,3.7,14.49,28.97,13.96,-5.46,6.57,24.26,5.77,22.53,214.11,77.54,49.79,31.03,14.91,121.85,6.53,44.78,26.57,4.97,1.18,-0.92,87.78,16.87,32.19,14.23,90.98,0,27.28,-0.24,40.09,4.65,29.67,50.77,2.08,-16.96,-0.86,12.02,12.34,70.49,-6.68,47.66,44.42,8.32,87.99,50.86,27.05,11.51,0.76,19.03,29,41.73,19.46,3.14,3.78,26.13,12.27,0,-1.12,9.69,101.72,32.18,49.16,1.48,12.43,44.64,20.04,47.05,52.69,7.19,15.55,3.48,4.97,20.94,-0.82,3.12,4.05,5.76,1.11,20.45,33.74,135.61,15.44,13.3,8.88,71.72,1.19,64.32,35.08,15.38,9.23,28.02,11.39,14.77,8.31,13.66,9.88,10.61,54.23,33.8,1.72,161.96,239.18,8.1,26.05,11.16,16.64,41.57,31.17,66.72,58.3,126.28,31.61,12.52,8.54,18.98,12.66,3.59,23.56,6.23,1.7,150.64,157.3,10.24,14.63,10.91,30.21,32.3,,,,,,,,,
2023-04-06 06:00,15.21,13.27,141.55,1.59,87.79,121.54,98.25,25.55,1.77,1.14,12.64,179.63,156.35,128.81,7.73,74.8,0.12,15.09,-12.83,0,10.18,26.96,7.7,0,0,0,0,0,9.08,5.64,9.32,7.84,0,34.45,2.06,29.45,193.86,7.3,6.34,2.77,13.13,29.58,14.44,-6.46,6.61,24.83,5.86,21.11,213.93,77.03,50.52,30.17,14.24,120.76,5.86,39.54,30.55,3.96,1.38,-0.44,85.12,15.11,29.67,14.2,89.8,0,26.53,-1.4,39.7,4.64,28.8,51.98,2.2,-16.77,-0.41,10.46,13.04,69.33,-5.78,48.28,43.62,7.52,90.98,45.35,25.9,10.93,0.8,18.34,29.66,41.98,19.59,3.1,3.6,24.99,11.55,0,-1.33,9.17,101.72,30.94,46.47,1.4,12.75,44.32,20.8,49.86,46.75,6.66,16.53,5.86,3.83,21.52,-0.95,3.91,3.7,5.7,1,20.03,33.53,127.46,14.02,14.69,8.1,76.75,1.58,66.16,32.62,15.82,8.62,27.94,10.45,7.65,8.75,14.79,9.86,9.91,55.51,34.29,1.6,162.88,253.51,7.54,26.72,9.94,14.53,41.83,31.34,67.69,60.83,127.79,31.07,12.59,9.88,17.57,12.27,3.51,23.02,6.31,1.61,145.55,160.05,10.78,14.48,11.45,29.69,32.29,,,,,,,,,
2023-04-06 06:30,15.19,12.05,142.68,1.54,80.17,118.66,101.13,24.25,1.62,1.11,12.66,177.32,150.51,125.14,8.63,73.64,0.08,13.79,-13.87,0,8.9,25.12,7.6,0,0,0,0,0,9.28,6.07,9.11,7.83,0,33.38,2.62,28.62,195.62,7.13,6.12,2.81,13.86,29.4,14.29,-7.56,6.23,23.4,6.25,22.08,198.87,78.28,48.1,30.16,14.52,111.97,6.39,85.97,28.36,5.72,0.39,-0.41,83.64,15.07,28.45,13.71,92.12,0,24.36,-1.28,35.17,3.72,28.65,48.31,1.6,-16.89,-5.31,9.89,13.3,64.11,-6.74,51.16,45.04,7.69,92.44,42.53,24.39,11.1,1.04,18.12,28.66,41.34,18.66,2.69,3.75,24.52,7.85,0,-2.32,8.52,101.72,28.79,44.83,1.5,11.03,45.25,21.44,43.64,49.67,6.4,15.58,5.2,4.41,17.75,-0.46,3.95,3.3,4.83,0.87,19.66,29.2,130.77,13.24,14.39,6.72,78.12,1.45,64.82,31.51,14.18,9.02,28.17,10.29,13.05,8.43,13.41,9.82,9.65,56.45,31.68,1.55,152.79,262.83,7.83,26.3,9.71,14.32,39.48,28.99,66.48,55.3,126.35,29.08,13.86,9.04,17.97,13.46,3.17,22.59,5.51,0.97,147.78,154.56,10.48,14.63,9.47,28.82,32.1,,,,,,,,,
2023-04-06 07:00,14.77,12.5,48.31,1.68,78.45,117.3,96.16,26.68,1.27,0.9,12.85,188.52,150.17,126.91,8.33,75.07,0.06,15.01,-13.1,0,9.01,22.91,7.83,0,0,0,0,0,9.44,5.03,9.12,7.83,0,33.69,2.3,26.61,195.68,8.65,6.27,1.96,16.21,30.69,14.05,-7.07,6.39,24.06,7.31,22.69,198.44,77.53,45.44,28.71,15.68,112.84,5.99,61.19,26.58,4.46,0.76,-0.9,86.84,16.52,27.98,14.21,87.68,0,24.94,-1.76,36.75,4.18,29.3,47.11,2.2,-16.38,-3.92,9.5,14.16,64.35,-5.26,38.26,42.2,7.79,75.89,45.28,22.34,12.05,1.2,19.54,26.56,40.21,18.39,2.74,4.57,24.93,8.02,0,-2.72,8.69,99.35,30.88,45.42,1.75,11.94,43.54,20.17,42.4,46.83,6.78,16.01,5.26,5.05,17.64,-1.16,4,3.37,5.17,1.02,19.23,29.98,132.84,12.66,14.26,7.56,79.28,1.54,64.03,30.77,14.77,9.47,30.55,10.6,8.44,7.72,14.79,9.82,8.82,59.48,32.25,1.56,154.34,258.09,6.58,27.89,9.47,14.98,38.52,28.52,66.35,54.71,123.38,31.63,13.81,9.02,19.07,12.99,3.7,22.35,5.95,1.28,149.67,158.23,10.67,15.62,11.06,28.61,32.36,,,,,,,,,
2023-04-06 07:30,14.73,13,64.24,1.59,81.46,118.12,97.67,26.05,1.51,1.56,13.37,207.91,146.83,136.13,9.48,74.7,0.11,15.85,-12.96,0,9.72,21.41,8.23,0,0,0,0,0,8.96,2.98,9.07,7.71,0,34.63,3.34,28.38,195.81,8.28,6.45,1.31,16.94,27.84,15.67,-5.91,6.13,24.02,7.99,25.03,213.52,82.64,48.07,27.68,17.11,118.37,5.98,36.59,31.79,4.86,1.08,-0.1,87.18,17.18,27.79,15.46,89.72,0,26.49,-1.76,37.55,3.74,28.71,48.23,3.44,-16.74,-2.05,9.65,14.38,70.53,-2.92,41.5,42.55,7.29,77.41,47.6,22.67,13.51,1.28,20.45,23.9,40.9,17.64,2.81,3.62,23.49,11.15,0,-2.68,9.05,101.84,32.73,44.42,2.12,13.32,43.36,17.69,49.67,49.69,7.03,17.14,11.93,6.22,18.65,-0.48,3.76,2.99,5.13,1.09,20.16,32.88,124.74,13.18,14.95,7.89,84.66,1.08,62.1,31.21,16.17,10.29,35.5,11.06,0.63,7.73,15.99,9.84,9.57,64.64,32.51,1.97,161.46,267.69,6.26,28.11,9.05,16.34,39.89,30.23,70.45,58.89,118.21,32.49,13.82,8.98,21.32,14.81,3.69,23.89,5.75,1.02,157.22,162.8,9.39,14.84,9.83,29,31.68,,,,,,,,,
2023-04-06 08:00,15.14,13.18,136.44,1.69,84.65,119,100.03,24.64,1.53,1.34,13.96,220.02,154.33,146.4,9.93,66.94,0.08,18.21,-11.88,0,10.55,21.44,9.14,0,0,0,0,0,9.68,4.06,8.8,7.86,0,34.92,2.72,29.7,195.2,8.07,7.17,2.46,17.3,28.97,15.87,-4.13,6.31,24.96,7.64,27.38,221.6,87.68,48.91,25.07,18.01,125.35,5.36,70.68,32.28,5.93,0.96,0.65,89.95,17.56,27.23,16.39,87.94,0,25.64,-1.92,39.94,4.22,28.93,50.45,3.75,-17.28,-2.78,8.39,15.4,74.38,-1.68,44.73,42.45,7.37,80.14,49.75,21.28,14.14,1.32,20.91,24.54,40.75,17.76,2.71,4.05,23.07,11.25,0,-1.23,9.55,106.71,35.85,45.09,1.87,11.85,45.66,18.13,53.03,49.83,7.28,16.44,5.96,7.35,19.16,-0.82,3.6,3.25,5.02,1.2,20.73,33.9,123.52,12.44,13.33,7.24,88.56,0.93,61.23,32.64,17.29,10.89,38.86,11.3,8.17,7.69,17.74,10.17,10.47,68.98,34.07,1.95,166.69,274.42,6.88,27.3,8.97,17.44,42.65,31.13,75.2,61.23,120.93,34.51,14.44,8.94,22.65,16.62,3.63,23.81,6.22,1.32,156.73,172.5,9.3,16.1,9.49,28.31,30.53,,,,,,,,,
2023-04-06 08:30,14.52,14.27,32.21,1.95,89.15,110.03,100.05,26.9,2.02,1.05,13.72,241.15,149.69,154.14,10.59,74.35,0.18,19.25,-12.47,0,11.33,23.68,9.74,0,0,0,0,0,9.96,5.04,9.34,8.17,0,35.47,3.63,30.68,189.2,8.09,7.35,2.48,19.51,0,17.94,-2.78,6.19,24.13,8.34,28.59,239.87,93.11,51.53,11.48,19.3,135.32,6.25,87.72,32.54,6.27,0.97,0.65,86.15,18.94,28.92,18.4,86.08,0,27.21,-2.1,46.77,3.97,29.36,50.71,8.69,-16.83,1.56,11.84,16.12,82.66,-0.82,48.83,42.75,7.64,85.17,52.47,23.12,15.26,1.2,22.47,26.28,41.14,17.52,2.52,2.72,25.05,9.06,0,-0.3,10.41,113.77,40.73,46.1,1.73,11.09,45.01,17.93,62.23,48.5,7.52,19.25,3.83,8.06,20.49,0.01,3.93,3,4.86,1.35,21.74,37.72,131.46,11.94,12.19,3,94.33,0.96,61.51,31.94,18.78,11.24,40.55,11.72,11.71,8.33,19.3,10.12,10.08,74.74,35.65,1.7,178.14,266.71,6.8,27.24,9.93,18.41,45.36,32.94,81.03,63.91,123.04,35.53,15.6,9.6,24.86,18.18,3.92,24.19,7.11,1.04,156.23,180.57,7.82,16.49,8.36,29.49,30.56,,,,,,,,,
2023-04-06 09:00,14.05,14.8,40.42,1.8,91.84,117.41,94.02,29.46,1.86,1.18,13.71,253.72,149.66,163.43,10.76,68.22,0.06,20.79,-11.97,0,11.85,25.56,10.25,0,0,0,0,0,10.44,5.22,8.99,8.28,0,35.35,3.93,28.8,185.74,8.33,7.37,3.17,20.37,0,17.51,0.06,6.34,24.07,8.48,29.3,254.92,97.08,55.09,11.11,19.69,141.28,0.85,58.9,37.29,4.02,1.23,-0.28,89.52,18.52,29.15,18.62,90.6,0,28.57,-2.42,46.76,3.99,29.29,52.1,10.5,-16.87,4.27,12.32,16.89,84.82,0.84,52.04,43.14,8.19,88.85,54.53,21.54,16.43,1.36,23.18,24.08,41.1,17.55,2.61,2.59,25.19,7.71,0,-0.08,10.2,118.24,42.68,48.65,2.46,10.27,44.17,17.79,64.18,50.63,7.67,20.23,5.65,8.44,21.66,-0.67,5.27,3.05,4.61,2.14,21.94,39.05,127.84,12.94,13.64,4.04,100.87,2.14,64.34,33.36,19.53,11.69,42.02,12.14,10.49,7.37,20.6,10.15,9.14,79.29,37.88,1.72,189.09,268.79,7.12,27.43,9.56,18.47,47.5,34.37,85.17,67.92,124.19,35.87,16.22,9.84,26.2,17.85,4.19,24.25,7.16,1.02,158.51,188.49,9.16,17,8.86,29.46,29.96,,,,,,,,,
2023-04-06 09:30,16.85,15.78,43.2,1.82,93.72,120.62,94.77,29.57,1.88,1.18,13.51,265.49,157.37,168.55,11.17,61.58,0.14,21.23,-11.93,0,12.53,26,10.21,0,0,0,0,0,10.52,4.17,9.32,8.25,0,35.87,3.98,29.56,188.78,8.17,7.87,2.26,21,0,17.73,1.21,6.33,23.99,9.08,29.82,262.95,101.82,57.23,11.79,20.88,144.58,2.41,83.58,36.79,4.57,1.22,-0.04,90.53,18.73,28.13,19.64,91.48,0,26.27,-1.66,44.35,3.86,28.77,50.43,9.81,-17.23,1.04,11.82,17.68,88.03,2.97,55.57,44.4,8.34,90.38,56.2,21.55,17.43,1.04,24.49,26.03,40.38,17.85,2.51,2.41,25.65,7.14,0,0.05,10.53,125.32,46.03,49.84,2.92,11.33,44.79,18.28,65.6,51.62,7.67,20.25,5.26,8.93,22.86,-0.13,4.65,2.68,5.43,2.47,22.61,41.06,128.25,11.3,13.01,3.19,107.86,1.66,62.83,32.96,20.67,12.43,43.75,12.65,11.46,7.29,20.92,10.32,9.76,83.12,38.42,1.63,191.24,274.94,7.16,27.78,10.46,19.06,49.7,35.11,87.05,70.63,120.79,36.6,17.54,9.92,26.9,18.08,4.39,24.3,7.76,1.18,160.3,193.63,8.39,18.86,8.8,30.31,29.46,,,,,,,,,
